"Date";"ProductName";"StockEOD";"DeliveryFromProduction";"Rejection";"StartupLoss";"Obsoletes";"InBackorder"
"2018-10-04";"Fressie Orange/Mango PET";125212;0;0;0;0;0
"2018-10-04";"Fressie Orange/Mango+C 1L";198301;0;0;0;0;0
"2018-10-05";"Fressie Orange 1 liter";490453;0;0;0;0;0
"2018-10-05";"Fressie Orange/Mango 1 liter";0;0;0;0;0;2172
"2018-10-05";"Fressie Orange/C-power PET";43218;0;0;0;0;0
"2018-10-05";"Fressie Orange PET";912573;394244;0;933;0;0
"2018-10-05";"Fressie Orange/Mango PET";113692;0;0;0;0;0
"2018-10-05";"Fressie Orange/Mango+C 1L";198301;0;0;0;0;0
"2018-10-08";"Fressie Orange 1 liter";1013630;523457;0;280;0;0
"2018-10-08";"Fressie Orange/Mango 1 liter";0;0;0;0;0;2172
"2018-10-08";"Fressie Orange/C-power PET";37458;0;0;0;0;0
"2018-10-08";"Fressie Orange PET";892413;0;0;0;0;0
"2018-10-08";"Fressie Orange/Mango PET";113692;0;0;0;0;0
"2018-10-08";"Fressie Orange/Mango+C 1L";188701;0;0;0;0;0
"2018-10-09";"Fressie Orange 1 liter";1013630;0;0;0;0;0
"2018-10-09";"Fressie Orange/Mango 1 liter";0;0;0;0;0;2172
"2018-10-09";"Fressie Orange/C-power PET";28818;0;0;0;0;0
"2018-10-09";"Fressie Orange PET";878013;0;0;0;0;0
"2018-10-09";"Fressie Orange/Mango PET";113692;0;0;0;0;0
"2018-10-09";"Fressie Orange/Mango+C 1L";161701;0;0;0;0;0
"2018-10-10";"Fressie Orange 1 liter";1013630;0;0;0;0;0
"2018-10-10";"Fressie Orange/Mango 1 liter";0;0;0;0;0;5772
"2018-10-10";"Fressie Orange/C-power PET";62211;34327;0;933;0;0
"2018-10-10";"Fressie Orange PET";878013;0;0;0;0;0
"2018-10-10";"Fressie Orange/Mango PET";113692;0;0;0;0;0
"2018-10-10";"Fressie Orange/Mango+C 1L";146101;0;0;0;0;0
"2018-10-11";"Fressie Orange 1 liter";996230;0;0;0;0;0
"2018-10-11";"Fressie Orange/Mango 1 liter";0;0;0;0;0;6972
"2018-10-11";"Fressie Orange/C-power PET";62211;0;0;0;0;0
"2018-10-11";"Fressie Orange PET";854973;0;0;0;0;0
"2018-10-11";"Fressie Orange/Mango PET";105052;0;0;0;0;0
"2018-10-11";"Fressie Orange/Mango+C 1L";146101;0;0;0;0;0
"2018-10-12";"Fressie Orange 1 liter";915230;0;0;0;0;0
"2018-10-12";"Fressie Orange/Mango 1 liter";0;0;0;0;0;6972
